iter	Logloss	Accuracy
0	0.6443222545	0.7941507312
1	0.6070481634	0.7941507312
2	0.5745326959	0.8098987627
3	0.5489951316	0.8121484814
4	0.5261807234	0.8098987627
5	0.5160128994	0.8132733408
6	0.50105339	0.8087739033
7	0.4892502207	0.8087739033
8	0.481156076	0.8087739033
9	0.4731416159	0.8155230596
10	0.465129626	0.8143982002
11	0.4593394739	0.8143982002
12	0.4556583464	0.8143982002
13	0.4539056999	0.8155230596
14	0.4521827439	0.8121484814
15	0.4495864472	0.8143982002
16	0.4491131291	0.816647919
17	0.4462116782	0.8200224972
18	0.4444019834	0.8256467942
19	0.4400917262	0.8245219348
20	0.4379016846	0.8211473566
21	0.435967568	0.8143982002
22	0.4351584109	0.816647919
23	0.4342322126	0.8143982002
24	0.4291637604	0.8188976378
25	0.4286033439	0.8200224972
26	0.4274647132	0.8188976378
27	0.4271967762	0.8177727784
28	0.426621799	0.816647919
29	0.4217021415	0.8188976378
30	0.4216176618	0.8177727784
31	0.4190352074	0.8211473566
32	0.4189031937	0.8211473566
33	0.4168873635	0.8200224972
34	0.4165472238	0.8211473566
35	0.4157640535	0.822272216
36	0.4155217385	0.8188976378
37	0.41418456	0.822272216
38	0.4137504287	0.8233970754
39	0.4137483224	0.8233970754
40	0.4134113774	0.8211473566
41	0.4133506137	0.8211473566
42	0.4129623127	0.8211473566
43	0.4113194657	0.822272216
44	0.4112498432	0.822272216
45	0.4109637462	0.8267716535
46	0.4108799924	0.8267716535
47	0.4101881665	0.8267716535
48	0.4100622853	0.8267716535
49	0.4089143784	0.8278965129
50	0.4058355237	0.8301462317
51	0.4055203566	0.8278965129
52	0.4040031605	0.8335208099
53	0.4039907879	0.8301462317
54	0.4034618552	0.8312710911
55	0.4032623396	0.8335208099
56	0.403100539	0.8346456693
57	0.4029126149	0.8335208099
58	0.4027725033	0.8335208099
59	0.4025403437	0.8335208099
60	0.4014091085	0.8346456693
61	0.401354078	0.8346456693
62	0.3987995557	0.8346456693
63	0.398795248	0.8346456693
64	0.3986908283	0.8346456693
65	0.3986799874	0.8346456693
66	0.3986766284	0.8346456693
67	0.3986580764	0.8346456693
68	0.3977674321	0.8357705287
69	0.3974052458	0.8346456693
70	0.3968992009	0.8368953881
71	0.3966407634	0.8346456693
72	0.3964481399	0.8357705287
73	0.3962719396	0.8346456693
74	0.3940331425	0.8391451069
75	0.3937337627	0.8380202475
76	0.3933155333	0.8380202475
77	0.3925189967	0.8380202475
78	0.3925174279	0.8380202475
79	0.3924125102	0.8380202475
80	0.3923736562	0.8380202475
81	0.3915424031	0.8380202475
82	0.3912536641	0.8380202475
83	0.3912519289	0.8380202475
84	0.3911585238	0.8380202475
85	0.391158501	0.8380202475
86	0.3911583881	0.8380202475
87	0.3910241816	0.8380202475
88	0.390126678	0.8380202475
89	0.3892123163	0.8391451069
90	0.3890617095	0.8380202475
91	0.3889457146	0.8380202475
92	0.388415682	0.8380202475
93	0.3877990776	0.8368953881
94	0.387642874	0.8368953881
95	0.3876064323	0.8368953881
96	0.3874681862	0.8368953881
97	0.3867597861	0.8368953881
98	0.3866054891	0.8368953881
99	0.3865569497	0.8368953881
100	0.3861474572	0.8368953881
101	0.3835646805	0.8380202475
102	0.3832132121	0.8391451069
103	0.3824950202	0.842519685
104	0.3824670087	0.842519685
105	0.3811581791	0.8413948256
106	0.3805899095	0.8402699663
107	0.3799946165	0.8402699663
108	0.3774124683	0.842519685
109	0.377299828	0.842519685
110	0.3756731963	0.8436445444
111	0.3750739597	0.8436445444
112	0.3749295015	0.8436445444
113	0.3745482462	0.8447694038
114	0.3732022067	0.8458942632
115	0.3728533841	0.8458942632
116	0.3707173194	0.8447694038
117	0.3699995277	0.8447694038
118	0.3698410898	0.8447694038
119	0.3690130485	0.8447694038
120	0.3687083297	0.8447694038
121	0.3682245935	0.842519685
122	0.3673277943	0.8458942632
123	0.3669754063	0.8470191226
124	0.3669378599	0.8470191226
125	0.3660891777	0.848143982
126	0.3659230487	0.848143982
127	0.3644282107	0.848143982
128	0.3643199494	0.8470191226
129	0.3629468859	0.8458942632
130	0.3627553582	0.8458942632
131	0.3625745553	0.8458942632
132	0.3614187344	0.8470191226
133	0.3611794833	0.8470191226
134	0.3603683371	0.848143982
135	0.3593145061	0.848143982
136	0.3585150574	0.8492688414
137	0.3582990549	0.8492688414
138	0.3580292246	0.8492688414
139	0.3580077177	0.8503937008
140	0.3575206629	0.8503937008
141	0.3563139122	0.8526434196
142	0.3554746356	0.853768279
143	0.3550062246	0.853768279
144	0.3548932744	0.8526434196
145	0.3544328001	0.8526434196
146	0.3542371515	0.8526434196
147	0.3538140728	0.853768279
148	0.3526728562	0.853768279
149	0.3516908739	0.853768279
150	0.3510080645	0.853768279
