iter	Passed	Remaining
0	12	18717
1	31	23688
2	42	21398
3	49	18393
4	53	15868
5	55	13842
6	58	12474
7	62	11695
8	66	10939
9	70	10442
10	74	10133
11	78	9680
12	81	9295
13	83	8856
14	85	8491
15	88	8198
16	90	7891
17	93	7677
18	97	7572
19	101	7494
20	103	7316
21	107	7211
22	109	7037
23	113	6967
24	118	6968
25	120	6811
26	122	6661
27	124	6549
28	128	6500
29	132	6485
30	134	6370
31	138	6353
32	140	6246
33	145	6263
34	147	6181
35	151	6167
36	154	6095
37	156	6013
38	158	5930
39	160	5848
40	162	5790
41	164	5716
42	166	5647
43	170	5644
44	172	5581
45	175	5535
46	177	5486
47	180	5450
48	182	5406
49	186	5403
50	190	5416
51	192	5371
52	199	5433
53	201	5399
54	205	5395
55	209	5407
56	213	5400
57	216	5378
58	219	5369
59	229	5500
60	236	5578
61	239	5556
62	247	5650
63	251	5637
64	254	5615
65	256	5581
66	259	5541
67	261	5502
68	267	5551
69	270	5530
70	273	5499
71	275	5463
72	277	5431
73	280	5401
74	284	5403
75	286	5376
76	290	5373
77	295	5378
78	298	5365
79	301	5357
80	304	5325
81	308	5327
82	312	5330
83	315	5320
84	319	5313
85	321	5280
86	323	5247
87	325	5215
88	332	5269
89	338	5296
90	341	5289
91	348	5332
92	353	5354
93	359	5372
94	362	5361
95	366	5357
96	369	5339
97	372	5333
98	375	5320
99	379	5309
100	384	5325
101	388	5324
102	392	5323
103	396	5321
104	399	5305
105	403	5301
106	408	5319
107	415	5354
108	421	5380
109	426	5390
110	432	5407
111	442	5488
112	449	5520
113	455	5534
114	461	5560
115	466	5569
116	477	5650
117	483	5664
118	488	5671
119	495	5698
120	499	5693
121	503	5690
122	508	5690
123	512	5685
124	516	5677
125	520	5678
126	524	5669
127	528	5666
128	532	5658
129	536	5654
130	540	5649
131	544	5643
132	548	5637
133	552	5630
134	556	5625
135	560	5621
136	564	5617
137	568	5612
138	572	5605
139	576	5599
140	580	5594
141	584	5590
142	588	5585
143	593	5584
144	597	5585
145	602	5588
146	609	5611
147	616	5627
148	623	5656
149	635	5723
150	643	5744
151	648	5754
152	656	5779
153	661	5785
154	667	5791
155	673	5799
156	679	5808
157	685	5826
158	691	5833
159	697	5839
160	703	5853
161	709	5857
162	715	5868
163	729	5944
164	736	5959
165	743	5972
166	751	5995
167	758	6011
168	766	6036
169	774	6062
170	779	6060
171	787	6083
172	795	6105
173	804	6133
174	812	6153
175	820	6171
176	827	6184
177	834	6196
178	841	6209
179	848	6219
180	856	6238
181	864	6260
182	872	6277
183	878	6285
184	886	6298
185	892	6308
186	900	6319
187	906	6327
188	914	6343
189	923	6364
190	930	6374
191	937	6386
192	944	6397
193	952	6409
194	959	6418
195	965	6426
196	973	6438
197	982	6459
198	996	6516
199	1005	6532
200	1013	6546
201	1021	6566
202	1030	6581
203	1036	6587
204	1045	6603
205	1051	6608
206	1058	6610
207	1064	6612
208	1071	6620
209	1078	6622
210	1085	6629
211	1092	6635
212	1097	6632
213	1103	6631
214	1108	6627
215	1115	6629
216	1120	6624
217	1126	6622
218	1131	6617
219	1136	6612
220	1142	6614
221	1148	6612
222	1154	6609
223	1160	6612
224	1168	6624
225	1174	6619
226	1180	6617
227	1185	6615
228	1191	6612
229	1197	6611
230	1205	6623
231	1212	6627
232	1220	6634
233	1226	6638
234	1234	6644
235	1243	6659
236	1252	6673
237	1260	6684
238	1265	6674
239	1268	6659
240	1274	6659
241	1281	6662
242	1288	6666
243	1295	6670
244	1303	6675
245	1312	6690
246	1322	6709
247	1330	6715
248	1337	6718
249	1362	6810
250	1378	6857
251	1395	6911
252	1403	6915
253	1424	6988
254	1433	6996
255	1443	7014
256	1453	7031
257	1462	7041
258	1470	7046
259	1479	7058
260	1495	7099
261	1504	7106
262	1516	7133
263	1531	7171
264	1546	7206
265	1564	7257
266	1574	7269
267	1592	7320
268	1601	7327
269	1616	7364
270	1625	7373
271	1645	7428
272	1654	7437
273	1663	7442
274	1676	7467
275	1692	7505
276	1712	7560
277	1718	7555
278	1724	7545
279	1729	7535
280	1734	7525
281	1740	7516
282	1745	7505
283	1750	7496
284	1756	7486
285	1761	7476
286	1766	7466
287	1772	7457
288	1777	7447
289	1782	7438
290	1785	7419
291	1791	7410
292	1803	7428
293	1811	7429
294	1819	7432
295	1826	7430
296	1831	7418
297	1839	7420
298	1849	7429
299	1858	7434
300	1866	7434
301	1874	7436
302	1884	7444
303	1891	7441
304	1899	7443
305	1907	7442
306	1915	7443
307	1922	7439
308	1929	7438
309	1936	7433
310	1951	7462
311	1968	7494
312	1976	7494
313	1985	7500
314	1999	7522
315	2013	7543
316	2019	7536
317	2028	7540
318	2038	7547
319	2046	7544
320	2051	7534
321	2056	7525
322	2063	7518
323	2068	7508
324	2073	7498
325	2079	7487
326	2084	7477
327	2090	7468
328	2095	7458
329	2100	7448
330	2106	7438
331	2113	7436
332	2122	7438
333	2129	7434
334	2138	7438
335	2145	7434
336	2154	7436
337	2161	7430
338	2168	7426
339	2177	7427
340	2182	7417
341	2190	7417
342	2197	7413
343	2206	7414
344	2214	7415
